Category: All categories

Country,phone addiction: (01/01/2004 - 26/09/2022)
Philippines,100
Singapore,96
Sri Lanka,86
United States,72
India,70
Canada,70
Australia,69
Ireland,67
Kenya,65
South Africa,65
Hong Kong,63
Bangladesh,62
Pakistan,62
Malaysia,57
New Zealand,53
United Arab Emirates,44
Nigeria,41
United Kingdom,40
South Korea,24
Morocco,24
Netherlands,13
Saudi Arabia,12
Kazakhstan,
Indonesia,7
Spain,6
Vietnam,6
Mexico,5
France,5
Germany,4
Turkey,4
Ukraine,
Russia,2
Tokelau,
Niue,
Antarctica,
Christmas Island,
Norfolk Island,
Palau,
Micronesia,
San Marino,
Equatorial Guinea,
Comoros,
Northern Mariana Islands,
St Vincent & the Grenadines,
Solomon Islands,
Western Sahara,
Dominica,
Faroe Islands,
Bhutan,
Gambia,
Lesotho,
Cayman Islands,
Chad,
Eswatini,
Papua New Guinea,
Gabon,
Grenada,
Burkina Faso,
Isle of Man,
Mongolia,
St Lucia,
Lebanon,
Zimbabwe,
Maldives,
Bahamas,
Rwanda,
Mauritius,
Trinidad & Tobago,
Guernsey,
Belize,
Jamaica,
Nepal,
Brunei,
Malawi,
Guadeloupe,
Ghana,
New Caledonia,
Myanmar (Burma),
Oman,
Somalia,
Qatar,
Ethiopia,
Botswana,
Uganda,
Guyana,
Turkmenistan,
Jersey,
Malta,
Cambodia,
Kuwait,
Kosovo,
Albania,
Zambia,
Estonia,
Iceland,
Bahrain,
Luxembourg,
St Helena,
Namibia,
Puerto Rico,
Latvia,
Réunion,
Slovenia,
Macao,
Georgia,
North Macedonia,
Uzbekistan,
Norway,
Bosnia & Herzegovina,
Croatia,
Finland,
Costa Rica,
Tunisia,
Palestine,
Israel,
Romania,
Syria,
Serbia,
Denmark,
Egypt,
Lithuania,
Moldova,
Jordan,
Tanzania,
Montenegro,
Sweden,
Hungary,
Armenia,
Yemen,
Switzerland,
Thailand,
Belgium,
Bulgaria,
Iraq,
Czechia,
Iran,
Panama,
Portugal,
Guatemala,
Greece,
Taiwan,
Honduras,
Sudan,
Azerbaijan,
Dominican Republic,
Paraguay,
Slovakia,
Cyprus,
Ecuador,
Austria,
Bolivia,
China,
Poland,
Algeria,
Peru,
Italy,
Colombia,
Argentina,
Uruguay,
Chile,
Japan,
Venezuela,
Brazil,
Belarus,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Caribbean Netherlands,
St Barthélemy,
Bermuda,
Barbados,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Cape Verde,
Cuba,
Curaçao,
Djibouti,
Eritrea,
Fiji,
Falkland Islands (Islas Malvinas),
Gibraltar,
Guinea,
Guinea-Bissau,
Greenland,
French Guiana,
Guam,
Heard & McDonald Islands,
Haiti,
British Indian Ocean Territory,
Kyrgyzstan,
Kiribati,
St Kitts & Nevis,
Laos,
Liberia,
Libya,
Liechtenstein,
St Martin,
Monaco,
Madagascar,
Marshall Islands,
Mali,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mayotte,
Niger,
Nicaragua,
Nauru,
Pitcairn Islands,
North Korea,
French Polynesia,
Senegal,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Sierra Leone,
El Salvador,
St Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Togo,
Tajikistan,
Timor-Leste,
Tonga,
Tuvalu,
US Outlying Islands,
Vatican City,
British Virgin Islands,
US Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
