Category: All categories

Month,phone addiction: (Worldwide)
2004-01,25
2004-02,0
2004-03,0
2004-04,0
2004-05,34
2004-06,39
2004-07,26
2004-08,0
2004-09,0
2004-10,20
2004-11,0
2004-12,21
2005-01,13
2005-02,0
2005-03,30
2005-04,29
2005-05,19
2005-06,0
2005-07,27
2005-08,48
2005-09,0
2005-10,0
2005-11,9
2005-12,17
2006-01,23
2006-02,10
2006-03,15
2006-04,15
2006-05,12
2006-06,28
2006-07,9
2006-08,18
2006-09,22
2006-10,20
2006-11,12
2006-12,14
2007-01,15
2007-02,11
2007-03,22
2007-04,24
2007-05,12
2007-06,11
2007-07,15
2007-08,8
2007-09,16
2007-10,25
2007-11,28
2007-12,19
2008-01,9
2008-02,14
2008-03,13
2008-04,31
2008-05,13
2008-06,17
2008-07,17
2008-08,8
2008-09,16
2008-10,17
2008-11,21
2008-12,25
2009-01,13
2009-02,25
2009-03,17
2009-04,24
2009-05,21
2009-06,15
2009-07,20
2009-08,16
2009-09,15
2009-10,12
2009-11,22
2009-12,22
2010-01,17
2010-02,17
2010-03,38
2010-04,26
2010-05,21
2010-06,25
2010-07,20
2010-08,18
2010-09,22
2010-10,26
2010-11,24
2010-12,22
2011-01,28
2011-02,25
2011-03,25
2011-04,22
2011-05,18
2011-06,19
2011-07,15
2011-08,22
2011-09,23
2011-10,23
2011-11,27
2011-12,21
2012-01,26
2012-02,24
2012-03,25
2012-04,28
2012-05,30
2012-06,25
2012-07,25
2012-08,19
2012-09,23
2012-10,27
2012-11,27
2012-12,23
2013-01,29
2013-02,32
2013-03,29
2013-04,32
2013-05,30
2013-06,25
2013-07,23
2013-08,26
2013-09,32
2013-10,34
2013-11,36
2013-12,35
2014-01,34
2014-02,41
2014-03,37
2014-04,35
2014-05,33
2014-06,24
2014-07,32
2014-08,32
2014-09,44
2014-10,46
2014-11,47
2014-12,39
2015-01,49
2015-02,45
2015-03,47
2015-04,54
2015-05,41
2015-06,36
2015-07,42
2015-08,40
2015-09,47
2015-10,55
2015-11,53
2015-12,50
2016-01,44
2016-02,51
2016-03,51
2016-04,53
2016-05,56
2016-06,43
2016-07,36
2016-08,38
2016-09,54
2016-10,54
2016-11,60
2016-12,49
2017-01,57
2017-02,65
2017-03,70
2017-04,69
2017-05,71
2017-06,51
2017-07,55
2017-08,56
2017-09,59
2017-10,74
2017-11,77
2017-12,70
2018-01,90
2018-02,90
2018-03,89
2018-04,82
2018-05,73
2018-06,77
2018-07,70
2018-08,77
2018-09,87
2018-10,100
2018-11,90
2018-12,79
2019-01,84
2019-02,96
2019-03,85
2019-04,88
2019-05,85
2019-06,74
2019-07,72
2019-08,75
2019-09,79
2019-10,88
2019-11,95
2019-12,79
2020-01,83
2020-02,92
2020-03,75
2020-04,63
2020-05,61
2020-06,58
2020-07,53
2020-08,56
2020-09,71
2020-10,70
2020-11,65
2020-12,54
2021-01,58
2021-02,67
2021-03,63
2021-04,61
2021-05,64
2021-06,59
2021-07,52
2021-08,56
2021-09,64
2021-10,62
2021-11,66
2021-12,68
2022-01,86
2022-02,74
2022-03,82
2022-04,84
2022-05,84
2022-06,77
2022-07,78
2022-08,76
2022-09,83
